,contested,democrat_name,democrat_percent,democrat_votes,democrat_winner,district,other_candidates,republican_name,republican_percent,republican_votes,republican_winner,state_name
163,False,,,,False,1,"[{'name': 'A. LaPolice', 'winner': False, 'votes': 66218, 'percent': 0.264}, {'name': 'K. Burt', 'winner': False, 'votes': 18415, 'percent': 0.073}]",R. Marshall,0.662,166051.0,True,Kansas
164,True,B. Potter,0.325,94561.0,False,2,"[{'name': 'J. Bales', 'winner': False, 'votes': 18700, 'percent': 0.064}]",L. Jenkins (i),0.611,177851.0,True,Kansas
165,True,J. Sidie,0.406,135778.0,False,3,"[{'name': 'S. Hohe', 'winner': False, 'votes': 26897, 'percent': 0.08}]",K. Yoder (i),0.513,171647.0,True,Kansas
166,True,D. Giroux,0.294,78822.0,False,4,"[{'name': 'M. Allen', 'winner': False, 'votes': 18358, 'percent': 0.068}, {'name': 'G. Bakken', 'winner': False, 'votes': 7420, 'percent': 0.028}]",M. Pompeo (i),0.61,163406.0,True,Kansas
167,True,S. Gaskins,0.274,81710.0,False,1,[],J. Comer,0.726,216957.0,True,Kentucky
168,False,,,,False,2,[],B. Guthrie (i),,,True,Kentucky
169,True,J. Yarmuth (i),0.635,212388.0,True,3,"[{'name': 'E. Corley', 'winner': False, 'votes': 0, 'percent': 0.0}]",H. Bratcher,0.365,122085.0,False,Kentucky
170,True,C. Sidle,0.28700000000000003,94064.0,False,4,[],T. Massie (i),0.713,233922.0,True,Kentucky
171,False,,,,False,5,[],H. Rogers (i),,,True,Kentucky
172,True,N. Kemper,0.389,128725.0,False,6,[],A. Barr (i),0.611,202094.0,True,Kentucky
173,True,J. Swider,0.028,9231.0,False,1,"[{'name': 'H. Kearney', 'winner': False, 'votes': 9395, 'percent': 0.029}, {'name': 'E. Barron', 'winner': False, 'votes': 6712, 'percent': 0.021}, {'name': 'C. Yang', 'winner': False, 'votes': 3233, 'percent': 0.01}]",S. Scalise (i),0.746,243575.0,True,Louisiana
174,False,K. Cutno,0.101,28826.0,False,2,[],,,,False,Louisiana
175,True,L. Rader,0.08700000000000001,27807.0,False,3,"[{'name': 'G. McLendon', 'winner': False, 'votes': 2934, 'percent': 0.009000000000000001}, {'name': 'K. Scelfo', 'winner': False, 'votes': 2667, 'percent': 0.008}]",H. Vidrine,0.004,1354.0,False,Louisiana
176,True,* M. Jones,0.28200000000000003,80558.0,True,4,"[{'name': 'M. Halverson', 'winner': False, 'votes': 3145, 'percent': 0.011}, {'name': 'K. Krefft', 'winner': False, 'votes': 2492, 'percent': 0.009000000000000001}]",R. John,0.046,13215.0,False,Louisiana
177,False,,,,False,5,[],B. Burkette,0.184,47106.0,False,Louisiana
178,True,J. Sampson,0.09,29809.0,False,6,"[{'name': 'R. Fontanesi', 'winner': False, 'votes': 7598, 'percent': 0.023}, {'name': 'D. Graham', 'winner': False, 'votes': 3215, 'percent': 0.01}]",B. Bell,0.101,33585.0,False,Louisiana
179,True,C. Pingree (i),0.579,225428.0,True,1,[],M. Holbrook,0.421,164048.0,False,Maine
180,True,E. Cain,0.451,157862.0,False,2,[],B. Poliquin (i),0.549,192285.0,True,Maine
181,True,J. Werner,0.28,94776.0,False,1,"[{'name': 'M. Beers', 'winner': False, 'votes': 14207, 'percent': 0.042}]",A. Harris (i),0.678,229135.0,True,Maryland
182,True,D. Ruppersberger (i),0.622,172324.0,True,2,"[{'name': 'K. Kasprzak', 'winner': False, 'votes': 12530, 'percent': 0.045}]",P. McDonough,0.333,92099.0,False,Maryland
183,True,J. Sarbanes (i),0.628,194362.0,True,3,"[{'name': 'N. Eze', 'winner': False, 'votes': 8430, 'percent': 0.027}]",M. Plaster,0.34500000000000003,106627.0,False,Maryland
184,True,A. Brown,0.741,218215.0,True,4,"[{'name': 'K. Clark', 'winner': False, 'votes': 7357, 'percent': 0.025}, {'name': 'B. Krause', 'winner': False, 'votes': 5274, 'percent': 0.018000000000000002}]",G. McDermott,0.216,63674.0,False,Maryland
185,True,S. Hoyer (i),0.673,223582.0,True,5,"[{'name': 'J. Summers', 'winner': False, 'votes': 10033, 'percent': 0.03}]",M. Arness,0.297,98768.0,False,Maryland
186,True,J. Delaney (i),0.554,167229.0,True,6,"[{'name': 'D. Howser', 'winner': False, 'votes': 6216, 'percent': 0.021}, {'name': 'G. Gluck', 'winner': False, 'votes': 4997, 'percent': 0.017}]",A. Hoeber,0.40900000000000003,123611.0,False,Maryland
187,True,E. Cummings (i),0.751,211962.0,True,7,"[{'name': 'M. Hoenig', 'winner': False, 'votes': 8428, 'percent': 0.03}]",C. Vaughn,0.219,61854.0,False,Maryland
188,True,J. Raskin,0.593,191671.0,True,8,"[{'name': 'N. Wallace', 'winner': False, 'votes': 9761, 'percent': 0.03}, {'name': 'J. Wunder', 'winner': False, 'votes': 6540, 'percent': 0.02}]",D. Cox,0.356,115200.0,False,Maryland
189,False,R. Neal (i),0.734,233310.0,True,1,"[{'name': 'F. Mayock', 'winner': False, 'votes': 57226, 'percent': 0.18}, {'name': 'T. Simmons', 'winner': False, 'votes': 27427, 'percent': 0.08600000000000001}]",,,,False,Massachusetts
190,False,J. McGovern (i),,,True,2,[],,,,False,Massachusetts
191,True,N. Tsongas (i),0.687,234361.0,True,3,[],A. Wofford,0.313,106882.0,False,Massachusetts
192,True,J. Kennedy (i),0.7000000000000001,261356.0,True,4,[],D. Rosa,0.30000000000000004,111890.0,False,Massachusetts
193,False,K. Clark (i),,,True,5,[],,,,False,Massachusetts
194,False,S. Moulton (i),,,True,6,[],,,,False,Massachusetts
195,False,M. Capuano (i),,,True,7,[],,,,False,Massachusetts
196,True,S. Lynch (i),0.724,267944.0,True,8,[],W. Burke,0.276,102146.0,False,Massachusetts
197,True,B. Keating (i),0.557,209911.0,True,9,"[{'name': 'P. Harrington', 'winner': False, 'votes': 26086, 'percent': 0.069}, {'name': 'C. Cataldo', 'winner': False, 'votes': 8266, 'percent': 0.022}, {'name': 'A. Raduc', 'winner': False, 'votes': 5261, 'percent': 0.014}]",M. Alliegro,0.338,127199.0,False,Massachusetts
198,True,L. Johnson,0.397,144319.0,False,1,"[{'name': 'D. Bostow', 'winner': False, 'votes': 13385, 'percent': 0.037}, {'name': 'E. Boal', 'winner': False, 'votes': 4773, 'percent': 0.013000000000000001}]",J. Bergman,0.553,201153.0,True,Michigan
199,True,D. Murphy,0.324,110077.0,False,2,"[{'name': 'E. Haas', 'winner': False, 'votes': 8166, 'percent': 0.024}, {'name': 'M. Brady', 'winner': False, 'votes': 5362, 'percent': 0.016}, {'name': 'R. Graeser', 'winner': False, 'votes': 2898, 'percent': 0.009000000000000001}]",B. Huizenga (i),0.627,213095.0,True,Michigan
200,True,D. Smith,0.375,128159.0,False,3,"[{'name': 'T. Gerrard', 'winner': False, 'votes': 10374, 'percent': 0.03}]",J. Amash (i),0.594,203069.0,True,Michigan
201,True,D. Wirth,0.321,101275.0,False,4,"[{'name': 'L. Schwartz', 'winner': False, 'votes': 8514, 'percent': 0.027}, {'name': 'G. Zimmer', 'winner': False, 'votes': 5595, 'percent': 0.018000000000000002}, {'name': 'J. Salvi', 'winner': False, 'votes': 3953, 'percent': 0.013000000000000001}, {'name': 'K. Butkovich', 'winner': False, 'votes': 1838, 'percent': 0.006}]",J. Moolenaar (i),0.616,194569.0,True,Michigan
202,True,D. Kildee (i),0.612,195076.0,True,5,"[{'name': 'S. Sluka', 'winner': False, 'votes': 6999, 'percent': 0.022}, {'name': 'H. Mikkelson', 'winner': False, 'votes': 4894, 'percent': 0.015}]",A. Hardwick,0.35100000000000003,111908.0,False,Michigan
203,True,P. Clements,0.364,119871.0,False,6,"[{'name': 'L. Wenke', 'winner': False, 'votes': 16239, 'percent': 0.049}]",F. Upton (i),0.586,192862.0,True,Michigan
204,True,G. Driskell,0.401,133697.0,False,7,"[{'name': 'K. Proctor', 'winner': False, 'votes': 16402, 'percent': 0.049}]",T. Walberg (i),0.55,183549.0,True,Michigan
205,True,S. Shkreli,0.392,143775.0,False,8,"[{'name': 'J. Wood', 'winner': False, 'votes': 9615, 'percent': 0.026000000000000002}, {'name': 'M. Green', 'winner': False, 'votes': 5677, 'percent': 0.015}, {'name': 'J. Burgess', 'winner': False, 'votes': 2250, 'percent': 0.006}]",M. Bishop (i),0.56,205617.0,True,Michigan
206,True,S. Levin (i),0.579,199620.0,True,9,"[{'name': 'M. Orlando', 'winner': False, 'votes': 9562, 'percent': 0.028}, {'name': 'J. McDermott', 'winner': False, 'votes': 6612, 'percent': 0.019}]",C. Morse,0.374,128907.0,False,Michigan
